2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='pre-push', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='pre-rebase', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='pre-receive', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,963 - INFO - Adding file info: FileInfo(name='prepare-commit-msg', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,964 - INFO - Adding file info: FileInfo(name='push-to-checkout', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,964 - INFO - Adding file info: FileInfo(name='update', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:41:35,964 - INFO - Adding file info: FileInfo(name='exclude', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\info')
2023-08-06 10:41:35,964 - INFO - Adding directory info: FileInfo(name='refs', extension='', is_directory=True, parent_directory='F:\\git\\.git\\logs')
2023-08-06 10:41:35,964 - INFO - Adding file info: FileInfo(name='HEAD', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\logs')
2023-08-06 10:41:35,964 - INFO - Adding directory info: FileInfo(name='heads', extension='', is_directory=True, parent_directory='F:\\git\\.git\\logs\\refs')
2023-08-06 10:41:35,964 - INFO - Adding file info: FileInfo(name='master', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\logs\\refs\\heads')
2023-08-06 10:41:35,964 - INFO - Adding directory info: FileInfo(name='27', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,964 - INFO - Adding directory info: FileInfo(name='30', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,964 - INFO - Adding directory info: FileInfo(name='42', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,964 - INFO - Adding directory info: FileInfo(name='55', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,964 - INFO - Adding directory info: FileInfo(name='5e', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,964 - INFO - Adding directory info: FileInfo(name='6a', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,964 - INFO - Adding directory info: FileInfo(name='71', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='7d', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='86', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='8d', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='95', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='98', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='c6', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='c8', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='cd', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='e5', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='fb', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='info', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding directory info: FileInfo(name='pack', extension='', is_directory=True, parent_directory='F:\\git\\.git\\objects')
2023-08-06 10:41:35,965 - INFO - Adding file info: FileInfo(name='302c734db2fd911bcf079dcc09aa13015c92eb', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\27')
2023-08-06 10:41:35,965 - INFO - Adding file info: FileInfo(name='3332b3867f2deee463e5c9715926ea541be778', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\27')
2023-08-06 10:41:35,965 - INFO - Adding file info: FileInfo(name='b714d4f3a5f26f0a3450577d780ac7ffa1a112', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\30')
2023-08-06 10:41:35,965 - INFO - Adding file info: FileInfo(name='32bc222b403633347722344d213beef7d8a81e', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\42')
2023-08-06 10:41:35,966 - INFO - Adding file info: FileInfo(name='d846f995f049723fa0fc395a1bb763c5168df6', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\55')
2023-08-06 10:41:35,966 - INFO - Adding file info: FileInfo(name='715d9fa0604aca76cd6a2abff2deffc786d493', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\5e')
2023-08-06 10:41:35,966 - INFO - Adding file info: FileInfo(name='42b52aabb6756ceb518c27560dc75f4abe0fde', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\6a')
2023-08-06 10:41:35,966 - INFO - Adding file info: FileInfo(name='0c986702d0be441a6c6e98ac32f06a4f541ed2', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\71')
2023-08-06 10:41:35,966 - INFO - Adding file info: FileInfo(name='9fba61501b034ed860f8e44b33501ebfd09402', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\7d')
2023-08-06 10:41:35,966 - INFO - Adding file info: FileInfo(name='fd61b3260c0da0c5d1d865b2188eec83ce94ba', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\86')
2023-08-06 10:41:35,966 - INFO - Adding file info: FileInfo(name='1afa29a871c16bda3ae9af0290027303313467', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\8d')
2023-08-06 10:41:35,966 - INFO - Adding file info: FileInfo(name='249caacef2c0c77fad46f74104a7f212b1bfbd', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\8d')
2023-08-06 10:41:35,966 - INFO - Adding file info: FileInfo(name='b934caf8afc2f0f2e172db062c1238a220cc5c', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\95')
2023-08-06 10:41:35,967 - INFO - Adding file info: FileInfo(name='8faf48875e4e6a7b2fc0b2392e0c593e0882ca', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\98')
2023-08-06 10:41:35,967 - INFO - Adding file info: FileInfo(name='91d4edd7169ef9c2e517678e2c98c6d814e188', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\98')
2023-08-06 10:41:35,967 - INFO - Adding file info: FileInfo(name='147de34b2c4d36c4ab668dc6b2fc635d164d85', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\c6')
2023-08-06 10:41:35,967 - INFO - Adding file info: FileInfo(name='ea84f91c1a798d10416541c3ab3dcbe156f0ab', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\c8')
2023-08-06 10:41:35,967 - INFO - Adding file info: FileInfo(name='0875583aabe89ee197ea133980a9085d08e497', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\cd')
2023-08-06 10:41:35,967 - INFO - Adding file info: FileInfo(name='a0e8374439d500595fdfd6789556808b7ff0f6', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\cd')
2023-08-06 10:41:35,967 - INFO - Adding file info: FileInfo(name='f266eae3bac77670d3c960665d2c0932d0c1d2', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\e5')
2023-08-06 10:41:35,967 - INFO - Adding file info: FileInfo(name='6f4031e3599b8ff0d6bffd71d225101b2e4474', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\objects\\fb')
2023-08-06 10:41:35,967 - INFO - Adding directory info: FileInfo(name='heads', extension='', is_directory=True, parent_directory='F:\\git\\.git\\refs')
2023-08-06 10:41:35,967 - INFO - Adding directory info: FileInfo(name='tags', extension='', is_directory=True, parent_directory='F:\\git\\.git\\refs')
2023-08-06 10:41:35,968 - INFO - Adding file info: FileInfo(name='master', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git\\refs\\heads')
2023-08-06 10:41:35,968 - INFO - Directory information saved to 'directory_info.txt'
